id;nombre;latitud;longitud;descripcion;foto;foto_content_type
1;mobile Fish;Home Loan Account Table Computer;Trace;536176696e6773204163636f756e7420616c61726d;72656420436869707320536f6170;image/png
2;Home Loan Account;web-readiness;Namibia;537465656c207a65726f2061646d696e697374726174696f6e;677265792043616d6272696467657368697265;image/png
3;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;696e666f6d6564696172696573;47616d657320526567696f6e616c204469676974697a6564;image/png
4;copy convergence;Mayotte;Industrial;636f6e6e656374204d61726b657473204368696566;736b7920626c756520546173747920506c61737469632050697a7a61;image/png
5;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;536d616c6c;6f766572726964696e67;image/png
6;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;6d6f7261746f7269756d206d6f7261746f7269756d;46726f7a656e20627573;image/png
7;hard drive Robust Networked;Poland;Small partnerships;4f7574646f6f7273;436f72706f72617465205068617365642072656c6174696f6e7368697073;image/png
8;white Brand Money Market Account;Salad Web virtual;Refined Squares;6d61726f6f6e;737570706f727420476f7267656f7573;image/png
9;withdrawal;copying;ability Hat Iraq;6d6167656e746120436f6e6372657465;4d6175726974616e6961;image/png
10;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;4265726b736869726520536d616c6c20506c61737469632050616e747320496e766573746f72;4265726b73686972652044657369676e6572;image/png
